"Path","SizeMB"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\dagger\dagger.exe","59.58"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\firebase\firebase.exe","260.72"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\java\jdk-25.0.2+10\lib\modules","138.15"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\java\jdk-25.0.2+10\lib\src.zip","50"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\java\lib\modules","138.15"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\java\lib\src.zip","50"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\rust\bin\rustc_driver-e331959a3b2e028f.dll","138.5"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\rust\lib\rustlib\x86_64-pc-windows-msvc\lib\libcore-a965a0d7d3d42ff3.rlib","51.59"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\tofu\tofu.exe","110.55"
"C:\aAntigravitySpace\00SDLC\OlympusForge\81000-Toolchain-External\trivy\trivy.exe","158.09"
"C:\aAntigravitySpace\00SDLC\OlympusForge\82000-Toolchain-Fleet\bin\deno.exe","102.4"
"C:\aAntigravitySpace\00SDLC\OlympusForge\90000-Enablement-Labs\000-Tools\000-sovereignsubstrate\rust.tar.gz","312.94"
"C:\aAntigravitySpace\00SDLC\OlympusForge\90000-Enablement-Labs\000-Tools\000-sovereignsubstrate\rust\rust-1.85.1-x86_64-pc-windows-msvc\llvm-tools-preview\lib\rustlib\x86_64-pc-windows-msvc\bin\llc.exe","61.98"
"C:\aAntigravitySpace\00SDLC\OlympusForge\90000-Enablement-Labs\000-Tools\000-sovereignsubstrate\rust\rust-1.85.1-x86_64-pc-windows-msvc\llvm-tools-preview\lib\rustlib\x86_64-pc-windows-msvc\bin\opt.exe","62.01"
"C:\aAntigravitySpace\00SDLC\OlympusForge\90000-Enablement-Labs\000-Tools\000-sovereignsubstrate\rust\rust-1.85.1-x86_64-pc-windows-msvc\rust-std-x86_64-pc-windows-msvc\lib\rustlib\x86_64-pc-windows-msvc\lib\libcore-a965a0d7d3d42ff3.rlib","51.59"
"C:\aAntigravitySpace\00SDLC\OlympusForge\90000-Enablement-Labs\000-Tools\000-sovereignsubstrate\rust\rust-1.85.1-x86_64-pc-windows-msvc\rustc\bin\rustc_driver-e331959a3b2e028f.dll","138.5"
"C:\aAntigravitySpace\00SDLC\OlympusForge\90000-Enablement-Labs\000-Tools\000-sovereignsubstrate\rust\rust-1.85.1-x86_64-pc-windows-msvc\rustc\lib\rustlib\x86_64-pc-windows-msvc\bin\rust-lld.exe","67.18"
"C:\aAntigravitySpace\00SDLC\OlympusForge\930-System-Enablers\940-Infra-Labs\gcloud.zip","75.19"
"C:\aAntigravitySpace\00SDLC\OlympusForge\930-System-Enablers\940-Infra-Labs\000-trivy-cache\000-db\trivy.db","1025.08"
"C:\aAntigravitySpace\00SDLC\OlympusForge\ZC0400-Sovereign-Source\mark3labs\mcp-go\.git\objects\pack\pack-71db9af6baeab0c22c219c6c31d66910b303fb22.pack","97.3"
